TANGGAL;TX
01/01/2024;33
02/01/2024;33,6
03/01/2024;31,6
04/01/2024;33,4
05/01/2024;33,8
06/01/2024;31,8
07/01/2024;32,2
08/01/2024;32,2
09/01/2024;30,8
10/01/2024;33
11/01/2024;33
12/01/2024;32,8
13/01/2024;33,8
14/01/2024;33
15/01/2024;33,2
16/01/2024;33,2
17/01/2024;28,8
18/01/2024;32,6
19/01/2024;31
20/01/2024;33,6
21/01/2024;33,2
22/01/2024;32,6
23/01/2024;32,6
24/01/2024;32,4
25/01/2024;34,2
26/01/2024;32,2
27/01/2024;32,4
28/01/2024;32
29/01/2024;30,4
30/01/2024;33,2
01/02/2024;33
02/02/2024;33,4
03/02/2024;32,4
04/02/2024;32,8
05/02/2024;33,6
06/02/2024;33
07/02/2024;33,4
08/02/2024;32,6
09/02/2024;33,8
10/02/2024;33,8
11/02/2024;33,2
12/02/2024;32,2
13/02/2024;32,4
14/02/2024;32,2
15/02/2024;32,6
16/02/2024;32,2
17/02/2024;32,6
18/02/2024;34
19/02/2024;34,5
20/02/2024;31,6
21/02/2024;33,6
22/02/2024;34
23/02/2024;32,4
24/02/2024;34,4
25/02/2024;32,4
26/02/2024;34,4
27/02/2024;33,4
28/02/2024;34,4
29/02/2024;33,2
01/03/2024;34,2
02/03/2024;34
03/03/2024;34,6
04/03/2024;33,8
05/03/2024;30,4
06/03/2024;33
07/03/2024;33,2
08/03/2024;32,6
09/03/2024;33,2
10/03/2024;34,2
11/03/2024;34,2
12/03/2024;35,1
13/03/2024;34,2
14/03/2024;34,2
15/03/2024;34,6
16/03/2024;32,4
17/03/2024;34,6
18/03/2024;33,6
19/03/2024;34,8
20/03/2024;32,3
21/03/2024;33,4
22/03/2024;33,6
23/03/2024;34,6
24/03/2024;34,2
25/03/2024;34,6
26/03/2024;34,8
27/03/2024;32,6
28/03/2024;34
29/03/2024;34,4
30/03/2024;32,2
31/03/2024;33
01/04/2024;32,3
02/04/2024;33,7
03/04/2024;34,2
04/04/2024;34
05/04/2024;33,8
06/04/2024;34,4
07/04/2024;34,4
08/04/2024;34,2
09/04/2024;32,2
10/04/2024;33
11/04/2024;34,2
12/04/2024;32
13/04/2024;34,4
14/04/2024;34,3
15/04/2024;34,4
16/04/2024;33
17/04/2024;33
18/04/2024;33,8
19/04/2024;33,4
20/04/2024;33,6
21/04/2024;32,9
22/04/2024;34
23/04/2024;33,8
24/04/2024;33,6
25/04/2024;34
26/04/2024;32,6
27/04/2024;33,8
28/04/2024;34,6
29/04/2024;33,9
30/04/2024;33,4
01/05/2024;34,4
02/05/2024;33,8
03/05/2024;33,2
04/05/2024;33,4
05/05/2024;33,8
06/05/2024;33,8
07/05/2024;33,8
08/05/2024;32,4
09/05/2024;34,4
10/05/2024;33,4
11/05/2024;32
12/05/2024;33
13/05/2024;32,1
14/05/2024;33
15/05/2024;31,6
16/05/2024;32,6
17/05/2024;33,6
18/05/2024;33
19/05/2024;34
20/05/2024;31,6
21/05/2024;32,2
22/05/2024;34
23/05/2024;34,5
24/05/2024;34,4
25/05/2024;34,4
26/05/2024;34,4
27/05/2024;35,2
28/05/2024;35,2
29/05/2024;35,8
30/05/2024;34
31/05/2024;32,4
01/06/2024;34,4
02/06/2024;34,2
03/06/2024;35
04/06/2024;35,2
05/06/2024;34,2
06/06/2024;34,6
07/06/2024;34
08/06/2024;34,6
09/06/2024;34,8
10/06/2024;35,2
11/06/2024;34,6
12/06/2024;35,6
13/06/2024;34,6
14/06/2024;35,6
15/06/2024;35,7
16/06/2024;33,2
17/06/2024;32,4
18/06/2024;35,4
19/06/2024;34,4
20/06/2024;34,1
21/06/2024;32,8
22/06/2024;34
23/06/2024;34,2
24/06/2024;33,8
25/06/2024;34,6
26/06/2024;36,2
27/06/2024;35
28/06/2024;35,8
29/06/2024;35,6
30/06/2024;33,4
01/07/2024;35
02/07/2024;35
03/07/2024;36,2
04/07/2024;33,8
05/07/2024;32,2
06/07/2024;35
07/07/2024;31,8
08/07/2024;35,2
09/07/2024;34
10/07/2024;31,3
11/07/2024;34,2
12/07/2024;35,8
13/07/2024;34
14/07/2024;31,6
15/07/2024;34,4
16/07/2024;35,2
17/07/2024;35,4
18/07/2024;35,6
19/07/2024;37,2
20/07/2024;37,4
21/07/2024;36,6
22/07/2024;36
23/07/2024;36,2
24/07/2024;35,6
25/07/2024;36,4
26/07/2024;36,2
27/07/2024;36
28/07/2024;35
29/07/2024;32,6
30/07/2024;34
31/07/2024;37,6
01/08/2024;36,6
02/08/2024;34,4
03/08/2024;35,2
04/08/2024;32,4
05/08/2024;34
06/08/2024;33,6
07/08/2024;34,2
08/08/2024;34,2
09/08/2024;32,6
10/08/2024;31,2
11/08/2024;32,4
12/08/2024;33,6
13/08/2024;32,4
14/08/2024;32
15/08/2024;33,8
16/08/2024;32,8
17/08/2024;32
18/08/2024;30,4
19/08/2024;28,8
20/08/2024;32,4
21/08/2024;34,6
22/08/2024;33,4
23/08/2024;31,2
24/08/2024;30,4
25/08/2024;32,6
26/08/2024;33,4
27/08/2024;30,7
28/08/2024;32,6
29/08/2024;33,8
30/08/2024;34,2
31/08/2024;33,8
01/09/2024;33,9
02/09/2024;35,2
03/09/2024;33
04/09/2024;34,8
05/09/2024;34,8
06/09/2024;33,2
07/09/2024;32,2
08/09/2024;33,2
09/09/2024;33
10/09/2024;35
11/09/2024;34,2
12/09/2024;34,8
13/09/2024;33,2
14/09/2024;34,4
15/09/2024;33
16/09/2024;31,2
17/09/2024;29
18/09/2024;32,8
19/09/2024;32,4
20/09/2024;30
21/09/2024;32,6
22/09/2024;34,2
23/09/2024;32,8
24/09/2024;30,6
25/09/2024;32,2
26/09/2024;34,8
27/09/2024;31,2
28/09/2024;31,4
29/09/2024;32,4
30/09/2024;32,4
01/10/2024;32,8
02/10/2024;32,4
03/10/2024;30,8
04/10/2024;31,6
05/10/2024;29,8
06/10/2024;30,6
07/10/2024;31,4
08/10/2024;31,4
09/10/2024;31,8
10/10/2024;32,8
11/10/2024;33,7
12/10/2024;31,8
13/10/2024;31,6
14/10/2024;32,4
15/10/2024;33
16/10/2024;33,6
17/10/2024;32,5
18/10/2024;33
19/10/2024;33
20/10/2024;33,9
21/10/2024;35
22/10/2024;34,8
23/10/2024;35
24/10/2024;34,4
25/10/2024;31,6
26/10/2024;33,4
27/10/2024;33,8
28/10/2024;35
29/10/2024;33,9
30/10/2024;33,4
31/10/2024;34,2
01/11/2024;34,2
02/11/2024;32,8
03/11/2024;32,8
04/11/2024;34,6
05/11/2024;31
06/11/2024;31,6
07/11/2024;33
08/11/2024;33,4
09/11/2024;31,6
10/11/2024;32,2
11/11/2024;33,2
12/11/2024;32,4
13/11/2024;31,2
14/11/2024;31,8
15/11/2024;31
16/11/2024;33
17/11/2024;30
18/11/2024;31,6
19/11/2024;31
20/11/2024;32,8
21/11/2024;30,6
22/11/2024;30,4
23/11/2024;31,8
24/11/2024;32,2
25/11/2024;32,8
26/11/2024;31,6
27/11/2024;31,7
28/11/2024;32,6
29/11/2024;31,2
30/11/2024;31,8
01/12/2024;32,8
02/12/2024;33
03/12/2024;29
04/12/2024;31,8
05/12/2024;30,6
06/12/2024;31
07/12/2024;32,2
08/12/2024;32
09/12/2024;32,2
10/12/2024;31,6
11/12/2024;31,6
12/12/2024;32,2
13/12/2024;32,8
14/12/2024;31,2
15/12/2024;32,5
16/12/2024;32
17/12/2024;31,2
18/12/2024;32,2
19/12/2024;31,5
20/12/2024;32,1
21/12/2024;31,4
22/12/2024;32,4
23/12/2024;32,1
24/12/2024;31,6
25/12/2024;31,4
26/12/2024;32,2
27/12/2024;32,8
28/12/2024;31,5
29/12/2024;32,2
30/12/2024;30
31/12/2024;30,8
01/01/2025;33
02/01/2025;31,5
03/01/2025;29,8
04/01/2025;31,2
05/01/2025;32,8
06/01/2025;31,4
07/01/2025;31,2
08/01/2025;32,5
09/01/2025;33
10/01/2025;31,8
11/01/2025;31,6
12/01/2025;29,1
13/01/2025;28,5
14/01/2025;31
15/01/2025;31,8
16/01/2025;30
17/01/2025;31,4
18/01/2025;30,8
19/01/2025;30,8
20/01/2025;32
21/01/2025;32,4
22/01/2025;32,6
23/01/2025;32,6
24/01/2025;31,4
25/01/2025;31,8
26/01/2025;30,3
27/01/2025;31,8
28/01/2025;30,8
29/01/2025;32,2
30/01/2025;31,6
31/01/2025;32,6
